housing,job,day,qualification,month,location,online.banking,checking.account,prev.sales,year.contact,length,central.interest.rate,employment.rate,customer.satisfaction,price.index,credit.rating,age,staff_total,confidence.index,emails.month,y
unknown,Plumber,tue,other,nov,Inner.city,not.registered,yes,0,0,523,2141,-3.6,Satisfactory,109.1292,satisfactory,57,15016,107.37,1,yes
yes,Gardener,mon,Bachelour.degree,jun,Inner.city,inactive,no,0,3,340,6882,3.6,Satisfactory,109592,poor,32,15682,87.7,1,no
yes,Driver,wed,doctorate,jul,Inner.city,inactive,yes,0,5,373,6236,3.6,Satisfactory,106.8044,poor,24,15664,84.02,1,no
yes,Gardener,wed,Bachelour.degree,nov,Inner.city,active,yes,0,2,227,4864,1.55,Satisfactory,110.64,poor,35,15621,84.25,1,no
no,Lawyer,tue,other,apr,Inner.city,active,yes,0,3,162,3077,-1.3,High,106.58,satisfactory,39,15317,77.13,1,no
yes,Self-employed,fri,highschool.certificate,jul,Inner.city,active,yes,0,0,915,5546,3.8,Satisfactory,102.3444,poor,30,15643,83.07,1,no
yes,Gardener,thu,Bachelour.degree,aug,Inner.city,inactive,yes,0,3,256,5524,3.5,Satisfactory,105.9552,poor,39,15731,101.61,1,no
no,Electrician,wed,Higher.school.certificate,jun,suburban,inactive,no,0,3,339,6.46,3.6,Satisfactory,105022,satisfactory,51,15655,89.46,0,no
no,Academic,wed,Bachelour.degree,nov,Inner.city,inactive,yes,0,2,784,5297,1.25,Satisfactory,107.81,excellent,51,15615,88.57,0,no
no,Plumber,tue,other,aug,Inner.city,inactive,yes,1,2,222,2.44,-3.05,Low,110.7308,satisfactory,53,15259,111.57,1,no
no,Plumber,mon,highschool.certificate,jul,Inner.city,inactive,yes,0,1,227,5967,3.8,Satisfactory,107.2944,satisfactory,52,15702,81.37,0,no
no,Chef,mon,unknown,may,Inner.city,active,yes,0,4,98,2787,-1.3,Satisfactory,112.5044,poor,31,15263,79.78,1,no
no,Lawyer,thu,other,nov,Inner.city,inactive,yes,4,3,527,2.56,0.0499999999999999,Low,110.7292,satisfactory,56,14930,99.77,1,yes
no,Electrician,fri,Bachelour.degree,may,Inner.city,inactive,yes,0,2,393,2519,-1.4,Satisfactory,109.7344,satisfactory,52,15316,78.14,1,no
no,Lawyer,thu,other,jul,Inner.city,inactive,no,0,1,175,7199,3.6,Satisfactory,110.3944,satisfactory,60,15666,85.32,0,no
yes,Self-employed,mon,Bachelour.degree,apr,Inner.city,inactive,yes,0,1,485,2194,-1.2,Satisfactory,109.47,satisfactory,40,15276,77.38,0,no
no,Driver,tue,doctorate,aug,suburban,inactive,yes,0,2,550,6003,3.8,Satisfactory,105.1752,satisfactory,34,15675,95.72,1,no
no,Doctor,wed,other,nov,Inner.city,inactive,no,0,2,409,5181,1.25,High,109.15,poor,39,15581,81.67,1,no
yes,Academic,mon,Higher.school.certificate,may,suburban,inactive,no,0,5,277,6306,3.35,Satisfactory,107.4952,satisfactory,44,15586,100.74,0,no
yes,Chef,thu,unknown,apr,Inner.city,inactive,yes,0,1,353,1321,-1.1,High,108.9192,poor,24,15034,105.76,2,no
no,Electrician,fri,Higher.school.certificate,jul,suburban,inactive,no,0,7,105,6002,3.5,Satisfactory,106.9844,satisfactory,39,15686,84.56,0,no
yes,Driver,wed,doctorate,may,Inner.city,inactive,yes,0,3,641,2836,-1.1,Satisfactory,107.4244,poor,41,15362,78.64,1,no
no,Plumber,fri,other,nov,Inner.city,inactive,yes,0,2,331,5.64,1.55,Satisfactory,104.94,satisfactory,38,15592,89.69,0,no
no,Self-employed,wed,unknown,jun,suburban,inactive,no,0,2,487,5422,3.8,Satisfactory,106702,excellent,51,15650,87.59,1,no
yes,Retail,thu,highschool.certificate,jun,Inner.city,inactive,no,0,2,1546,6141,3.4,Satisfactory,110572,excellent,30,15663,90.25,0,yes
yes,Lawyer,thu,TAFE,apr,suburban,inactive,yes,0,2,759,2312,-1,Satisfactory,108.48,satisfactory,48,15331,72.22,0,no
yes,Plumber,wed,Bachelour.degree,may,Inner.city,inactive,yes,0,2,176,3407,-1,High,104.7344,satisfactory,32,15281,76.21,2,no
yes,Lawyer,mon,Bachelour.degree,may,Inner.city,inactive,yes,0,2,277,2236,-1.2,Satisfactory,105.8944,poor,29,15336,81.33,0,no
yes,Driver,tue,doctorate,jul,Inner.city,inactive,no,0,3,309,6337,3.7,Satisfactory,109.1644,satisfactory,25,15659,82.34,0,no
yes,Driver,thu,other,apr,Inner.city,inactive,yes,0,0,622,2492,-1.2,Satisfactory,108.16,excellent,42,15327,76.05,1,yes
yes,Chef,wed,other,sep,Inner.city,inactive,yes,0,3,843,1944,-0.25,High,108.8792,poor,23,14831,96.23,5,no
no,Self-employed,wed,highschool.certificate,jun,suburban,inactive,no,0,1,165,6221,3.8,Satisfactory,108052,satisfactory,39,15664,92.8,0,yes
yes,Lawyer,mon,TAFE,nov,Inner.city,inactive,yes,0,5,28,2167,-1.2,Satisfactory,106.7544,excellent,45,15334,78.66,1,no
no,Driver,fri,Bachelour.degree,oct,Inner.city,inactive,yes,0,0,394,2746,-1.1,High,105.9,poor,41,15195,80.07,1,no
no,Academic,mon,TAFE,may,Inner.city,active,no,0,5,360,5669,3.35,Satisfactory,109.8852,satisfactory,58,15578,99.97,1,no
yes,Self-employed,tue,Higher.school.certificate,jun,Inner.city,inactive,no,0,2,257,5615,3.8,Satisfactory,105542,satisfactory,39,15664,87.04,1,no
yes,Lawyer,tue,TAFE,may,Inner.city,active,no,0,2,304,5513,2.95,Satisfactory,108.5352,poor,54,15577,96.97,1,no
no,Self-employed,wed,highschool.certificate,jun,Inner.city,active,yes,4,1,550,1609,-1.05,Low,110764,satisfactory,71,14902,90.7,2,yes
yes,Retail,thu,highschool.certificate,apr,Inner.city,inactive,yes,0,11,4144,2585,-1.3,Satisfactory,103.53,poor,66,15290,78.84,1,no
no,Retail,thu,Bachelour.degree,aug,Inner.city,inactive,yes,0,2,419,1425,-2.65,Satisfactory,106.5808,satisfactory,38,15312,112.23,0,yes
yes,Gardener,mon,Bachelour.degree,may,suburban,inactive,no,0,4,100,2286,-1.4,Satisfactory,109.3044,satisfactory,38,15279,73.36,1,no
yes,Doctor,thu,Higher.school.certificate,may,Inner.city,inactive,yes,0,2,473,2227,-1.1,Satisfactory,104.8644,satisfactory,36,15269,77.72,0,no
yes,Driver,thu,doctorate,jul,Inner.city,active,yes,0,5,236,5689,3.6,Satisfactory,107.6644,satisfactory,54,15682,82.42,1,no
yes,Driver,thu,doctorate,may,Inner.city,inactive,no,0,3,555,5547,3.25,Satisfactory,106.5452,excellent,38,15533,99.18,1,no
yes,Self-employed,thu,Higher.school.certificate,jul,Inner.city,inactive,yes,0,0,311,5747,3.5,Satisfactory,109.8444,satisfactory,44,15744,82.98,0,no
no,Gardener,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,2,920,6022,3.6,Satisfactory,107.7044,excellent,33,15679,89.07,1,yes
yes,Librarian,tue,other,jul,Inner.city,inactive,yes,2,1,623,1033,-1.25,Low,109292,poor,33,14974,87.58,4,yes
no,Driver,thu,doctorate,aug,Inner.city,inactive,yes,0,2,236,5161,3.5,Satisfactory,108.3952,poor,38,15669,97.16,1,no
unknown,Lawyer,mon,other,may,suburban,inactive,no,0,55,353,5639,3.05,Satisfactory,108.7452,satisfactory,35,15564,96.15,0,no
yes,Driver,fri,doctorate,aug,Inner.city,inactive,yes,0,0,122,5034,3.7,Satisfactory,107.3252,poor,34,15753,98.85,0,no
no,Driver,wed,doctorate,nov,suburban,inactive,yes,0,0,1897,5.61,1.15,Satisfactory,108.01,satisfactory,38,15574,84.49,1,yes
no,Lawyer,fri,other,apr,Inner.city,inactive,yes,0,1,352,2923,-1.3,Satisfactory,105.57,satisfactory,32,15326,76.72,0,no
no,Self-employed,fri,Bachelour.degree,may,Inner.city,inactive,no,0,0,249,6212,2.95,Satisfactory,108.7852,satisfactory,53,15528,99.81,0,yes
yes,Retail,tue,highschool.certificate,may,suburban,inactive,no,0,0,117,5101,3.05,Satisfactory,109.2252,poor,39,15622,98.03,1,no
yes,Self-employed,fri,TAFE,may,Inner.city,inactive,no,0,3,182,1825,-1.3,Satisfactory,103.2544,poor,38,15279,75.96,0,no
no,Librarian,fri,Higher.school.certificate,apr,suburban,inactive,yes,0,2,406,2793,-1,Satisfactory,106.84,satisfactory,37,15329,77.81,0,no
no,Driver,tue,Bachelour.degree,nov,Inner.city,inactive,yes,0,1,200,4352,1.25,Satisfactory,107.43,satisfactory,33,15651,89.14,1,no
yes,Driver,wed,other,aug,Inner.city,inactive,yes,0,2,166,5765,3.8,Satisfactory,108.4352,poor,36,15694,101.2,1,no
yes,Self-employed,fri,Bachelour.degree,may,Inner.city,active,no,1,5,153,2195,-1,Low,106.3244,satisfactory,45,15286,76.68,1,no
no,Driver,thu,doctorate,aug,suburban,inactive,yes,0,1,195,5638,3.7,Satisfactory,106.7052,satisfactory,43,15714,102.36,0,no
yes,Self-employed,mon,Higher.school.certificate,jul,suburban,inactive,yes,0,2,289,6255,3.6,Satisfactory,106.1844,poor,40,15679,82.91,1,no
yes,Lawyer,wed,unknown,nov,Inner.city,active,yes,0,1,118,4783,1.45,High,108.97,satisfactory,39,15551,86.74,2,no
yes,Librarian,thu,other,aug,Inner.city,active,yes,1,1,319,1483,-2.95,Low,106.5808,excellent,53,15251,111.53,2,yes
no,Lawyer,wed,other,may,Inner.city,inactive,yes,0,2,478,2669,-1,High,109.6444,poor,29,15286,79.39,2,no
no,Retail,tue,highschool.certificate,jun,Inner.city,inactive,yes,0,0,643,2127,-3.05,Satisfactory,108.2304,satisfactory,40,15213,86.53,0,yes
no,Self-employed,mon,highschool.certificate,may,Inner.city,inactive,no,0,1,287,5683,3.25,Satisfactory,109.3452,satisfactory,44,15604,98.8,0,no
unknown,Self-employed,thu,highschool.certificate,jun,Inner.city,not.registered,no,0,2,2726,5863,3.5,Satisfactory,109412,satisfactory,40,15710,87.67,0,yes
yes,Self-employed,mon,Higher.school.certificate,jul,suburban,inactive,yes,0,8,471,5823,3.5,Satisfactory,108.3244,poor,39,15662,85.02,0,no
no,Lawyer,thu,TAFE,jul,Inner.city,inactive,yes,0,4,423,5767,3.6,Satisfactory,107.0944,satisfactory,37,15688,89.41,0,no
yes,Other,wed,Bachelour.degree,jun,suburban,active,no,0,16,1149,6597,3.7,Satisfactory,106712,poor,26,15689,88.47,1,yes
no,Librarian,fri,doctorate,jul,Inner.city,inactive,yes,0,2,246,7046,3.8,Satisfactory,106.9444,satisfactory,53,15688,87.67,1,no
yes,Self-employed,tue,TAFE,may,suburban,inactive,no,0,1,272,6219,3.15,Satisfactory,107.9552,satisfactory,38,15570,98.35,0,no
yes,Driver,thu,other,may,Inner.city,inactive,yes,0,2,354,2405,-1.4,Satisfactory,107.8244,satisfactory,26,15288,81.33,0,no
yes,Self-employed,tue,highschool.certificate,jul,suburban,inactive,no,0,9,223,6051,3.6,Satisfactory,101.2144,satisfactory,50,15671,84.85,1,no
no,Chef,tue,other,jun,Inner.city,inactive,yes,0,0,120,2.33,-2.85,High,106.8204,satisfactory,26,15234,89.07,2,no
yes,Self-employed,tue,other,may,Inner.city,inactive,yes,0,1,1225,2798,-1.2,Satisfactory,105.7044,poor,32,15362,79.38,0,no
yes,Gardener,tue,Bachelour.degree,jul,Inner.city,inactive,yes,0,1,182,5689,3.8,Satisfactory,110.5744,satisfactory,35,15700,85.02,1,no
yes,Driver,tue,doctorate,mar,Inner.city,active,yes,0,2,327,1232,-1.1,Satisfactory,108.3152,satisfactory,30,15016,100.65,0,no
no,Librarian,thu,other,aug,suburban,inactive,yes,0,4,278,6462,3.4,Satisfactory,104.0452,satisfactory,61,15728,100.61,0,no
no,Self-employed,mon,TAFE,jun,suburban,inactive,no,0,1,233,5.79,3.6,Satisfactory,105662,satisfactory,39,15694,83.94,0,no
no,Driver,tue,Bachelour.degree,nov,Inner.city,inactive,yes,0,2,167,5872,1.25,High,108.22,satisfactory,39,15585,89.38,1,no
no,Self-employed,mon,Higher.school.certificate,may,Inner.city,active,yes,0,3,348,2741,-1.4,High,108.0744,satisfactory,40,15291,78.49,3,no
no,Self-employed,mon,highschool.certificate,jul,Inner.city,inactive,yes,0,5,170,6106,3.7,Satisfactory,108.1944,satisfactory,42,15628,84.75,0,no
no,Electrician,mon,Higher.school.certificate,may,suburban,inactive,no,0,2,354,6504,3.05,Satisfactory,113.1052,satisfactory,39,15561,97.46,0,no
yes,Self-employed,thu,TAFE,may,Inner.city,inactive,no,0,1,1080,4945,3.35,Satisfactory,105.1352,satisfactory,41,15594,100,0,no
yes,Librarian,wed,other,aug,Inner.city,inactive,yes,0,1,358,1.96,-2.65,High,107.9708,satisfactory,58,15298,111.49,2,no
yes,Doctor,mon,Higher.school.certificate,apr,Inner.city,inactive,yes,0,3,19,2738,-1.3,High,107.22,satisfactory,41,15301,79.83,2,no
yes,Lawyer,thu,Bachelour.degree,jun,Inner.city,inactive,no,0,7,2001,5621,3.8,Satisfactory,107202,poor,22,15692,86.89,1,yes
no,Lawyer,tue,Bachelour.degree,may,Inner.city,inactive,yes,0,3,352,1693,-1,Satisfactory,105.3144,satisfactory,38,15295,77.85,0,no
no,Lawyer,wed,Bachelour.degree,jul,Inner.city,inactive,no,0,9,911,5608,3.5,Satisfactory,109.9144,satisfactory,60,15681,85.28,0,no
yes,Academic,wed,highschool.certificate,jun,suburban,inactive,no,0,5,216,6173,3.6,Satisfactory,108852,satisfactory,58,15683,87.71,0,no
unknown,Lawyer,mon,other,apr,Inner.city,not.registered,yes,0,1,115,2063,-1,High,106.95,satisfactory,34,15257,74.86,1,no
yes,Lawyer,mon,Bachelour.degree,may,Inner.city,active,yes,0,0,209,2739,-1.2,High,104.1044,satisfactory,30,15283,79.57,2,no
no,Driver,mon,doctorate,jun,Inner.city,inactive,yes,0,2,138,1.81,-2.95,Satisfactory,108.0504,poor,36,15230,90.33,0,no
yes,Chef,wed,other,jul,Inner.city,inactive,yes,0,0,520,6407,3.5,Satisfactory,109.2644,poor,32,15703,85.95,0,no
no,Self-employed,mon,highschool.certificate,jun,suburban,inactive,no,0,1,576,6103,3.8,Satisfactory,105342,satisfactory,39,15676,86.19,0,no
no,Lawyer,tue,other,nov,Inner.city,inactive,yes,0,2,307,4337,1.35,Satisfactory,107.91,satisfactory,51,15587,91.39,1,no
yes,Gardener,fri,Bachelour.degree,jul,Inner.city,inactive,yes,0,4,182,4912,3.8,Satisfactory,110.2144,poor,29,15686,89.09,0,no
no,Plumber,mon,other,may,Inner.city,inactive,no,0,3,458,4848,3.05,Low,104.6052,excellent,56,15586,99.55,1,no
no,Lawyer,thu,other,jun,suburban,inactive,no,0,5,391,5.73,3.8,Satisfactory,109172,poor,30,15646,85.29,1,no
yes,Plumber,thu,other,jul,Inner.city,active,yes,0,1,217,6956,3.4,Satisfactory,107.9544,satisfactory,35,15672,85.51,1,no
yes,Gardener,tue,highschool.certificate,aug,suburban,inactive,yes,0,1,497,4505,3.6,Satisfactory,109.0452,satisfactory,47,15665,98.2,0,no
no,Lawyer,fri,other,may,Inner.city,inactive,yes,0,2,540,2664,-1.1,High,107.3544,satisfactory,41,15300,81.54,1,no
no,Electrician,mon,other,apr,Inner.city,inactive,yes,0,0,467,3918,-1.4,Satisfactory,105.64,excellent,27,15241,76.71,0,yes
no,Driver,tue,other,nov,Inner.city,inactive,yes,0,1,245,4603,1.55,Satisfactory,107.57,satisfactory,30,15581,87.82,1,no
yes,Lawyer,fri,other,jun,Inner.city,active,no,0,2,954,7063,3.8,Satisfactory,107242,poor,34,15695,84.34,1,no
yes,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,7,111,5162,3.7,Satisfactory,107.6852,satisfactory,37,15697,99.92,0,no
yes,Driver,fri,doctorate,jun,Inner.city,inactive,no,0,3,169,5732,3.4,Satisfactory,106852,satisfactory,38,15775,86.09,0,no
no,Gardener,mon,Bachelour.degree,may,Inner.city,inactive,no,0,5,339,5012,3.15,Satisfactory,108.3252,satisfactory,32,15614,96.62,0,no
yes,Gardener,tue,other,jul,Inner.city,inactive,yes,0,0,555,5352,3.6,Satisfactory,109.1744,poor,38,15684,87.27,0,no
no,Self-employed,tue,Higher.school.certificate,jul,Inner.city,active,yes,0,2,689,6487,3.7,Satisfactory,109.3044,poor,33,15667,86.93,1,no
no,Driver,wed,doctorate,jul,suburban,inactive,yes,0,2,906,5812,3.8,Satisfactory,106.3444,poor,39,15714,85.51,0,no
no,Self-employed,thu,highschool.certificate,may,Inner.city,active,yes,0,3,393,3035,-1.4,Satisfactory,107.6944,poor,36,15310,80.09,0,no
no,Driver,thu,TAFE,may,Inner.city,active,no,0,2,375,5867,2.95,Satisfactory,112.0052,satisfactory,45,15603,101.23,0,no
unknown,Academic,tue,highschool.certificate,aug,Inner.city,not.registered,yes,0,15,42,5159,3.8,Satisfactory,109.8552,satisfactory,38,15679,99.77,1,no
yes,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,1,196,5507,3.8,Satisfactory,109.2752,poor,29,15698,97.09,0,no
no,Lawyer,mon,highschool.certificate,may,suburban,inactive,no,0,2,179,6146,3.25,Satisfactory,105.1552,poor,34,15518,97.72,0,no
yes,Gardener,tue,Bachelour.degree,may,Inner.city,active,no,0,3,358,5.34,3.25,Satisfactory,107.4652,excellent,39,15534,100.25,0,no
yes,Self-employed,wed,Higher.school.certificate,aug,suburban,inactive,yes,0,5,760,6152,3.7,Satisfactory,108.9352,satisfactory,55,15705,97.72,1,no
yes,Gardener,tue,highschool.certificate,jul,suburban,inactive,yes,0,6,145,5959,3.7,Satisfactory,106.4844,satisfactory,50,15720,85.06,0,no
no,Self-employed,tue,highschool.certificate,aug,Inner.city,inactive,yes,0,0,259,5419,3.4,Satisfactory,109.1352,satisfactory,51,15682,97.92,1,no
no,Self-employed,fri,highschool.certificate,jul,Inner.city,inactive,no,0,0,150,5512,3.6,Satisfactory,108.2444,satisfactory,33,15700,87.06,0,no
no,Lawyer,mon,other,may,suburban,inactive,no,0,2,584,6222,3.35,Satisfactory,106.7052,excellent,52,15535,97.5,0,no
yes,Driver,thu,doctorate,may,Inner.city,inactive,yes,0,3,509,2377,-1.3,Satisfactory,103.1944,satisfactory,41,15288,78.75,1,no
no,Self-employed,thu,highschool.certificate,jun,Inner.city,inactive,no,0,5,123,5756,3.5,Satisfactory,106372,satisfactory,31,15680,83.14,0,no
no,Lawyer,mon,unknown,jul,suburban,inactive,yes,0,2,1179,6224,3.6,Satisfactory,110.4444,satisfactory,50,15695,83.63,1,no
no,Lawyer,thu,other,jul,Inner.city,inactive,yes,0,0,1245,6714,3.5,Satisfactory,108.2044,poor,32,15655,84.26,0,no
yes,Lawyer,fri,other,nov,Inner.city,inactive,yes,0,2,274,4672,1.45,Satisfactory,105.28,satisfactory,30,15613,86.05,1,no
yes,Plumber,tue,other,nov,Inner.city,active,yes,0,2,313,4535,1.35,Satisfactory,106,satisfactory,33,15593,87.53,0,no
yes,Electrician,wed,other,aug,Inner.city,inactive,yes,0,10,32,5955,3.6,Satisfactory,105.8452,satisfactory,30,15677,100.74,0,no
no,Lawyer,thu,other,apr,Inner.city,inactive,yes,0,4,491,1591,-1.1,Satisfactory,109.51,poor,28,15263,73.95,1,yes
yes,Driver,thu,doctorate,aug,Inner.city,inactive,yes,0,1,333,6754,3.8,Satisfactory,105.8452,poor,30,15652,98.2,0,no
no,Driver,fri,Higher.school.certificate,jun,Inner.city,inactive,no,0,2,119,6.37,3.4,Satisfactory,108722,satisfactory,49,15721,90.23,0,no
yes,Self-employed,thu,unknown,may,Inner.city,inactive,yes,0,2,917,1805,-1,Satisfactory,107.4344,poor,21,15335,80.45,0,no
yes,Lawyer,tue,Bachelour.degree,aug,suburban,inactive,yes,0,0,143,4694,3.5,Satisfactory,107.9452,satisfactory,34,15680,103.16,1,no
no,Driver,thu,doctorate,nov,Inner.city,inactive,no,0,3,354,5067,1.15,Satisfactory,105.84,satisfactory,38,15596,87.21,1,no
yes,Self-employed,wed,Bachelour.degree,may,suburban,inactive,no,0,1,292,5835,3.05,Satisfactory,108.6152,poor,27,15526,99.28,0,no
yes,Driver,wed,doctorate,nov,suburban,inactive,yes,0,1,319,6.38,1.45,High,109.25,satisfactory,43,15599,85.37,2,no
no,Gardener,thu,Bachelour.degree,apr,suburban,inactive,yes,0,1,272,1767,-1.1,Satisfactory,106.39,poor,51,15296,75.94,0,no
no,Plumber,fri,TAFE,jun,suburban,inactive,no,0,3,14,6428,3.8,Satisfactory,106952,satisfactory,39,15762,88.51,1,no
no,Librarian,thu,doctorate,may,Inner.city,inactive,no,0,3,434,5.17,3.35,Satisfactory,109.8152,excellent,46,15559,96.36,1,no
yes,Self-employed,fri,highschool.certificate,may,Inner.city,inactive,yes,0,2,388,1619,-1.4,High,105.9544,poor,30,15315,78.61,1,no
yes,Self-employed,mon,Bachelour.degree,jul,suburban,inactive,yes,0,2,154,5736,3.8,Satisfactory,105.6444,satisfactory,56,15641,83.82,0,no
no,Academic,fri,highschool.certificate,mar,Inner.city,inactive,yes,0,1,169,2444,-1,High,112.0544,satisfactory,72,15281,69.49,1,no
yes,Lawyer,wed,highschool.certificate,jun,Inner.city,inactive,no,0,4,76,6669,3.6,Satisfactory,105552,excellent,32,15685,86.46,0,no
yes,Driver,tue,other,aug,Inner.city,inactive,yes,0,4,916,6302,3.8,Satisfactory,105.0252,poor,31,15698,98.41,1,yes
yes,Lawyer,tue,unknown,may,suburban,inactive,no,0,2,516,5.32,3.25,Satisfactory,108.6252,poor,49,15551,98.87,1,no
no,Lawyer,fri,Bachelour.degree,may,Inner.city,active,no,0,3,310,7332,3.35,Satisfactory,106.7952,poor,38,15538,98.23,1,no
no,Driver,fri,other,aug,Inner.city,inactive,yes,0,2,358,5694,3.6,Satisfactory,106.8352,satisfactory,34,15672,102.29,0,no
yes,Plumber,thu,other,jun,Inner.city,inactive,yes,1,1,574,2062,-1.25,Low,104684,poor,31,14985,91.88,1,yes
yes,Driver,tue,doctorate,jun,Inner.city,active,no,0,0,299,4926,3.5,Satisfactory,107892,satisfactory,37,15705,83.27,0,yes
yes,Driver,fri,TAFE,jun,Inner.city,inactive,no,0,19,18,6053,3.8,Satisfactory,106652,satisfactory,25,15705,86.24,0,no
yes,Driver,thu,other,jul,Inner.city,inactive,no,0,1,225,5.81,3.7,Satisfactory,109.0344,poor,31,15705,86.08,0,no
yes,Self-employed,mon,Higher.school.certificate,may,Inner.city,inactive,yes,0,0,104,2128,-1.3,Satisfactory,110.1744,poor,22,15277,78.91,1,no
no,Driver,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,2,791,5414,3.5,Satisfactory,104.6644,satisfactory,45,15662,87.65,0,no
yes,Librarian,wed,Bachelour.degree,jul,Inner.city,active,yes,1,0,541,1975,-0.85,Low,109292,excellent,69,15030,88.59,2,yes
no,Self-employed,fri,Bachelour.degree,jul,Inner.city,inactive,no,0,3,514,5929,3.7,Satisfactory,108.0044,satisfactory,38,15636,84.56,1,no
yes,Retail,tue,Higher.school.certificate,nov,Inner.city,inactive,yes,0,2,230,4438,1.25,High,107.19,satisfactory,52,15603,85.17,1,no
yes,Self-employed,thu,Higher.school.certificate,may,Inner.city,inactive,no,0,0,346,5777,3.05,Satisfactory,107.8652,satisfactory,41,15598,98.06,1,no
yes,Electrician,thu,other,nov,Inner.city,inactive,no,0,0,156,4915,1.45,Satisfactory,108.68,satisfactory,28,15555,82.5,2,no
yes,Lawyer,thu,other,may,Inner.city,inactive,yes,0,0,284,2162,-1.4,Satisfactory,104.1944,satisfactory,34,15337,77.73,0,no
no,Retail,thu,doctorate,jul,suburban,inactive,yes,0,2,300,6364,3.5,Satisfactory,109.9244,satisfactory,47,15674,84.37,1,no
no,Self-employed,fri,Higher.school.certificate,may,suburban,inactive,yes,0,1,1547,2529,-1.2,High,106.8444,satisfactory,54,15354,77.04,2,yes
yes,Librarian,wed,doctorate,may,Inner.city,active,yes,0,5,950,6208,3.8,Satisfactory,107.6444,satisfactory,53,15675,82.98,0,no
yes,Doctor,thu,doctorate,jul,Inner.city,inactive,yes,0,0,251,5989,3.5,High,108.1444,satisfactory,31,15687,89.24,0,no
no,Lawyer,mon,other,may,Inner.city,inactive,yes,0,1,843,2023,-1.4,High,108.6744,poor,26,15264,77.61,2,no
no,Self-employed,mon,highschool.certificate,jun,Inner.city,inactive,yes,0,1,195,5811,1.35,Satisfactory,106.24,satisfactory,38,15584,87.25,1,no
no,Lawyer,thu,unknown,nov,Inner.city,inactive,yes,0,2,246,1851,-3.8,High,107.7592,satisfactory,23,15040,111.32,2,yes
no,Lawyer,wed,Bachelour.degree,may,Inner.city,inactive,yes,0,3,282,1793,-1,Satisfactory,105.4544,poor,40,15240,76.5,1,yes
yes,Driver,mon,other,aug,Inner.city,inactive,yes,0,3,226,5666,3.8,Satisfactory,106.8252,satisfactory,30,15688,98.42,1,no
yes,Self-employed,fri,unknown,aug,Inner.city,inactive,yes,0,0,294,5658,3.4,Satisfactory,108.5252,satisfactory,47,15685,99.47,0,no
no,Driver,thu,Bachelour.degree,sep,Inner.city,inactive,yes,0,1,490,2517,-0.25,Satisfactory,109.4792,satisfactory,31,14920,98.42,1,no
no,Driver,fri,doctorate,aug,Inner.city,inactive,yes,0,1,179,5724,3.7,Satisfactory,110.2052,satisfactory,49,15680,100.91,0,no
yes,Lawyer,thu,other,apr,Inner.city,inactive,yes,2,1,547,1522,-1.2,Low,106.0292,satisfactory,38,15067,105.06,2,yes
yes,Self-employed,thu,highschool.certificate,jul,Inner.city,inactive,yes,0,1,698,6317,3.5,Satisfactory,102.9144,satisfactory,47,15700,83.69,1,yes
no,Self-employed,wed,highschool.certificate,aug,Inner.city,inactive,yes,0,2,211,5205,3.8,Satisfactory,111.0452,excellent,52,15728,100.33,1,no
yes,Lawyer,thu,other,nov,Inner.city,inactive,yes,0,2,621,5246,1.45,Satisfactory,104.4,poor,33,15545,86.62,0,yes
yes,Self-employed,wed,Bachelour.degree,jul,Inner.city,inactive,no,0,10,135,5701,3.5,Satisfactory,106.8744,satisfactory,33,15728,87.27,1,no
yes,Driver,thu,doctorate,aug,Inner.city,inactive,yes,0,7,182,5536,3.6,Satisfactory,106.0752,excellent,48,15649,101.77,0,no
no,Lawyer,wed,other,nov,suburban,inactive,yes,0,3,468,4282,1.25,High,106.77,poor,48,15530,89.05,1,no
no,Self-employed,thu,TAFE,jul,suburban,inactive,yes,0,2,43,6363,3.7,Satisfactory,107.7144,satisfactory,55,15681,83.64,0,yes
yes,Self-employed,mon,Higher.school.certificate,may,Inner.city,inactive,yes,0,3,37,2316,-1.2,Satisfactory,101.5944,satisfactory,34,15384,78.31,0,no
yes,Lawyer,fri,Bachelour.degree,may,Inner.city,inactive,no,0,4,163,5.52,3.35,Satisfactory,109.8652,satisfactory,41,15521,97.52,1,no
yes,Self-employed,wed,Higher.school.certificate,jun,suburban,inactive,no,0,6,351,6004,3.4,Satisfactory,110882,satisfactory,34,15662,89.27,0,no
yes,Self-employed,tue,Higher.school.certificate,jun,suburban,inactive,no,0,2,240,6.42,3.7,Satisfactory,108812,satisfactory,47,15687,86.2,0,no
no,Self-employed,wed,Bachelour.degree,may,Inner.city,inactive,no,0,1,2663,5714,3.05,Satisfactory,106.9452,satisfactory,42,15609,99.97,0,yes
yes,Lawyer,wed,unknown,may,Inner.city,not.registered,yes,0,5,25,3.11,-1.2,Satisfactory,109.1944,excellent,45,15263,74.33,1,no
yes,Lawyer,tue,Bachelour.degree,jul,suburban,inactive,yes,0,1,100,5544,3.4,Satisfactory,107.1544,satisfactory,30,15663,83.51,0,no
